imageX,imageY,realX,realY
19.0,291.0,0,1000
62.0,262.0,0,1500
97.0,238.0,0,2000
126.0,218.0,0,2500
151.0,202.0,0,3000
171.0,188.0,0,3500
189.0,176.0,0,4000
205.0,165.0,0,4500
218.0,156.0,0,5000
230.0,148.0,0,5500
241.0,140.0,0,6000
251.0,134.0,0,6500
82.0,314.0,1000,1000
121.0,279.0,1000,1500
153.0,252.0,1000,2000
178.0,230.0,1000,2500
199.0,212.0,1000,3000
217.0,196.0,1000,3500
233.0,183.0,1000,4000
246.0,171.0,1000,4500
31.0,358.0,1000,500
257.0,161.0,1000,5000
267.0,153.0,1000,5500
276.0,145.0,1000,6000
285.0,138.0,1000,6500
12.0,438.0,1500,0
117.0,326.0,1500,1000
154.0,289.0,1500,1500
183.0,260.0,1500,2000
206.0,237.0,1500,2500
226.0,217.0,1500,3000
242.0,201.0,1500,3500
256.0,187.0,1500,4000
268.0,175.0,1500,4500
69.0,375.0,1500,500
278.0,164.0,1500,5000
287.0,155.0,1500,5500
295.0,147.0,1500,6000
302.0,140.0,1500,6500
52.0,464.0,2000,0
156.0,340.0,2000,1000
189.0,300.0,2000,1500
216.0,269.0,2000,2000
236.0,244.0,2000,2500
254.0,223.0,2000,3000
268.0,206.0,2000,3500
280.0,191.0,2000,4000
291.0,179.0,2000,4500
112.0,393.0,2000,500
300.0,168.0,2000,5000
308.0,158.0,2000,5500
315.0,150.0,2000,6000
321.0,142.0,2000,6500
112.0,477.0,2500,0
199.0,355.0,2500,1000
228.0,312.0,2500,1500
251.0,278.0,2500,2000
269.0,251.0,2500,2500
283.0,229.0,2500,3000
296.0,211.0,2500,3500
306.0,195.0,2500,4000
315.0,182.0,2500,4500
159.0,414.0,2500,500
322.0,171.0,2500,5000
329.0,161.0,2500,5500
335.0,152.0,2500,6000
340.0,144.0,2500,6500
245.0,372.0,3000,1000
270.0,325.0,3000,1500
288.0,288.0,3000,2000
303.0,259.0,3000,2500
315.0,236.0,3000,3000
325.0,216.0,3000,3500
333.0,200.0,3000,4000
340.0,186.0,3000,4500
212.0,437.0,3000,500
346.0,174.0,3000,5000
351.0,164.0,3000,5500
356.0,155.0,3000,6000
360.0,147.0,3000,6500
297.0,391.0,3500,1000
315.0,338.0,3500,1500
329.0,299.0,3500,2000
340.0,268.0,3500,2500
348.0,243.0,3500,3000
355.0,222.0,3500,3500
361.0,205.0,3500,4000
366.0,190.0,3500,4500
272.0,462.0,3500,500
371.0,178.0,3500,5000
374.0,167.0,3500,5500
378.0,158.0,3500,6000
381.0,149.0,3500,6500
354.0,411.0,4000,1000
365.0,353.0,4000,1500
373.0,310.0,4000,2000
379.0,277.0,4000,2500
384.0,250.0,4000,3000
388.0,228.0,4000,3500
391.0,210.0,4000,4000
394.0,195.0,4000,4500
338.0,475.0,4000,500
396.0,182.0,4000,5000
399.0,170.0,4000,5500
400.0,161.0,4000,6000
402.0,152.0,4000,6500
417.0,434.0,4500,1000
419.0,370.0,4500,1500
420.0,323.0,4500,2000
421.0,286.0,4500,2500
422.0,258.0,4500,3000
422.0,235.0,4500,3500
423.0,215.0,4500,4000
423.0,199.0,4500,4500
423.0,186.0,4500,5000
424.0,174.0,4500,5500
424.0,164.0,4500,6000
424.0,154.0,4500,6500
488.0,459.0,5000,1000
479.0,388.0,5000,1500
472.0,336.0,5000,2000
466.0,297.0,5000,2500
462.0,266.0,5000,3000
459.0,241.0,5000,3500
456.0,221.0,5000,4000
454.0,204.0,5000,4500
452.0,190.0,5000,5000
450.0,177.0,5000,5500
449.0,167.0,5000,6000
447.0,157.0,5000,6500
49.0,302.0,500,1000
91.0,270.0,500,1500
124.0,245.0,500,2000
151.0,224.0,500,2500
174.0,207.0,500,3000
194.0,192.0,500,3500
210.0,179.0,500,4000
225.0,168.0,500,4500
6.0,341.0,500,500
237.0,159.0,500,5000
248.0,150.0,500,5500
258.0,143.0,500,6000
267.0,136.0,500,6500
562.0,473.0,5500,1000
545.0,408.0,5500,1500
528.0,351.0,5500,2000
515.0,308.0,5500,2500
505.0,275.0,5500,3000
498.0,249.0,5500,3500
491.0,227.0,5500,4000
486.0,209.0,5500,4500
481.0,194.0,5500,5000
477.0,181.0,5500,5500
474.0,170.0,5500,6000
471.0,160.0,5500,6500
618.0,430.0,6000,1500
590.0,367.0,6000,2000
568.0,321.0,6000,2500
552.0,285.0,6000,3000
539.0,257.0,6000,3500
528.0,234.0,6000,4000
520.0,215.0,6000,4500
512.0,199.0,6000,5000
506.0,185.0,6000,5500
501.0,173.0,6000,6000
496.0,163.0,6000,6500
637.0,380.0,6500,2000
625.0,334.0,6500,2500
602.0,295.0,6500,3000
583.0,265.0,6500,3500
568.0,240.0,6500,4000
556.0,220.0,6500,4500
545.0,204.0,6500,5000
536.0,189.0,6500,5500
529.0,177.0,6500,6000
522.0,166.0,6500,6500
638.0,306.0,7000,3000
628.0,274.0,7000,3500
610.0,248.0,7000,4000
593.0,226.0,7000,4500
580.0,209.0,7000,5000
568.0,194.0,7000,5500
558.0,181.0,7000,6000
549.0,170.0,7000,6500
631.0,233.0,7500,4500
616.0,214.0,7500,5000
601.0,198.0,7500,5500
588.0,185.0,7500,6000
577.0,173.0,7500,6500
430.0,157.0,0,0
443.0,171.0,0,1000
451.0,179.0,0,1500
460.0,188.0,0,2000
470.0,198.0,0,2500
482.0,210.0,0,3000
